"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"D-Glyceraldehyde 3-phosphate",0.312321421676216,0.885233914473202,0.885233914473202,0.47048642205879,1,1,0.47048642205879,0.885233914473202,0.665005542102029,0.47048642205879,0.665005542102029,0.885233914473202,0.885233914473202,0.665005542102029,0.885233914473202,1,1,0.885233914473202,1,1,1,0.665005542102029,0.665005542102029,0.665005542102029,0.885233914473202,0.312321421676216,0.312321421676216,1,1,0.665005542102029,0.665005542102029,0.312321421676216,0.312321421676216,0.665005542102029,0.885233914473202,1,0.885233914473202,0.665005542102029,0.885233914473202,0.312321421676216,1,0.47048642205879,1,0.665005542102029,1,0.885233914473202,0.885233914473202,0.885233914473202,0.665005542102029,0.885233914473202,0.885233914473202,0.885233914473202,0.665005542102029,0.885233914473202,0.47048642205879,0.885233914473202,1,0.665005542102029,0.885233914473202,0.47048642205879,0.885233914473202,0.885233914473202,0.885233914473202,0.665005542102029,0.47048642205879,0.193930852282411,0.665005542102029,1,1,0.665005542102029,0.312321421676216,0.665005542102029,0.885233914473202,0.665005542102029,0.885233914473202,0.885233914473202,1,0.665005542102029,0.665005542102029,1,1,0.885233914473202,0.885233914473202,1,1,0.885233914473202,0.665005542102029,0.885233914473202,1,1,0.885233914473202,0.885233914473202,0.665005542102029,0.885233914473202,0.112351197690464,1,0.885233914473202,1,0.885233914473202,1
"Shikimic acid",0.47048642205879,0.312321421676216,0.665005542102029,0.312321421676216,1,0.47048642205879,1,0.47048642205879,1,0.0303828219765775,0.885233914473202,0.885233914473202,0.665005542102029,0.665005542102029,0.112351197690464,0.312321421676216,0.193930852282411,0.47048642205879,0.665005542102029,0.312321421676216,1,1,0.47048642205879,0.885233914473202,0.665005542102029,0.665005542102029,0.312321421676216,0.665005542102029,0.665005542102029,0.112351197690464,0.312321421676216,0.665005542102029,0.665005542102029,0.885233914473202,0.665005542102029,0.885233914473202,0.312321421676216,0.665005542102029,0.312321421676216,1,0.47048642205879,0.665005542102029,1,0.0606019697120061,0.665005542102029,1,0.665005542102029,0.312321421676216,0.312321421676216,0.665005542102029,0.665005542102029,0.312321421676216,1,0.665005542102029,0.47048642205879,1,1,0.193930852282411,0.665005542102029,0.665005542102029,0.885233914473202,0.112351197690464,1,0.665005542102029,0.312321421676216,0.312321421676216,0.112351197690464,0.665005542102029,0.312321421676216,0.885233914473202,0.665005542102029,0.885233914473202,0.665005542102029,0.665005542102029,0.665005542102029,0.665005542102029,0.0303828219765775,0.665005542102029,0.193930852282411,0.665005542102029,0.47048642205879,1,0.112351197690464,1,0.193930852282411,0.47048642205879,1,0.885233914473202,0.665005542102029,0.885233914473202,1,0.47048642205879,0.665005542102029,0.47048642205879,0.112351197690464,0.665005542102029,0.47048642205879,0.312321421676216,0.312321421676216,0.885233914473202
"Citrulline",0.47048642205879,0.665005542102029,1,0.665005542102029,1,0.47048642205879,1,0.665005542102029,1,0.665005542102029,0.665005542102029,1,1,0.312321421676216,0.665005542102029,0.665005542102029,0.665005542102029,0.665005542102029,0.665005542102029,1,0.665005542102029,0.312321421676216,0.665005542102029,0.665005542102029,0.193930852282411,0.665005542102029,0.885233914473202,0.47048642205879,0.312321421676216,1,1,0.665005542102029,0.885233914473202,0.665005542102029,0.665005542102029,1,1,1,0.312321421676216,1,1,1,0.665005542102029,0.312321421676216,1,0.312321421676216,1,0.193930852282411,0.665005542102029,0.665005542102029,0.665005542102029,0.665005542102029,0.665005542102029,0.312321421676216,1,0.665005542102029,0.665005542102029,0.665005542102029,1,0.665005542102029,1,1,0.665005542102029,0.665005542102029,0.312321421676216,0.312321421676216,1,1,0.665005542102029,1,0.312321421676216,0.665005542102029,0.193930852282411,1,1,0.312321421676216,0.665005542102029,0.665005542102029,0.665005542102029,0.665005542102029,1,0.312321421676216,0.193930852282411,0.312321421676216,1,1,0.47048642205879,0.885233914473202,0.312321421676216,0.885233914473202,0.665005542102029,1,1,0.665005542102029,0.193930852282411,0.312321421676216,0.47048642205879,0.665005542102029,0.665005542102029,0.665005542102029
"Hippuric acid",0.665005542102029,0.885233914473202,1,0.885233914473202,0.885233914473202,0.885233914473202,0.885233914473202,1,0.665005542102029,0.665005542102029,0.885233914473202,0.665005542102029,0.665005542102029,1,0.665005542102029,0.885233914473202,0.665005542102029,1,1,1,0.885233914473202,1,1,1,0.885233914473202,1,0.885233914473202,0.885233914473202,0.665005542102029,0.885233914473202,0.885233914473202,0.885233914473202,0.885233914473202,0.885233914473202,0.885233914473202,0.885233914473202,1,0.665005542102029,0.885233914473202,1,1,1,1,0.885233914473202,0.665005542102029,1,1,0.885233914473202,0.885233914473202,0.665005542102029,1,0.885233914473202,1,1,0.885233914473202,0.665005542102029,0.885233914473202,0.885233914473202,0.885233914473202,1,0.665005542102029,0.665005542102029,1,1,1,1,0.885233914473202,1,0.665005542102029,0.885233914473202,1,0.885233914473202,0.885233914473202,0.665005542102029,1,1,0.665005542102029,1,0.665005542102029,0.885233914473202,0.885233914473202,0.885233914473202,0.665005542102029,1,0.885233914473202,0.885233914473202,0.665005542102029,0.665005542102029,0.885233914473202,0.885233914473202,1,1,1,0.665005542102029,0.47048642205879,0.885233914473202,0.885233914473202,0.665005542102029,0.885233914473202,1
"myo-Inositol",0.47048642205879,0.47048642205879,1,0.885233914473202,1,0.885233914473202,1,0.47048642205879,1,0.885233914473202,0.665005542102029,1,1,0.885233914473202,1,0.885233914473202,0.665005542102029,0.665005542102029,0.885233914473202,1,0.885233914473202,0.665005542102029,1,0.665005542102029,0.665005542102029,0.665005542102029,0.885233914473202,0.885233914473202,0.47048642205879,0.885233914473202,0.885233914473202,0.665005542102029,0.885233914473202,0.665005542102029,1,0.885233914473202,0.885233914473202,1,0.665005542102029,0.885233914473202,1,1,1,0.665005542102029,0.885233914473202,0.665005542102029,0.885233914473202,0.665005542102029,0.885233914473202,0.47048642205879,1,1,0.885233914473202,0.47048642205879,1,1,1,0.885233914473202,1,1,0.885233914473202,0.885233914473202,1,1,0.885233914473202,0.47048642205879,0.885233914473202,1,0.665005542102029,0.885233914473202,0.47048642205879,0.885233914473202,0.665005542102029,1,1,0.885233914473202,1,0.665005542102029,0.885233914473202,1,0.885233914473202,0.665005542102029,0.665005542102029,0.665005542102029,0.885233914473202,0.885233914473202,0.665005542102029,0.885233914473202,0.665005542102029,1,0.885233914473202,0.885233914473202,0.885233914473202,0.885233914473202,0.312321421676216,0.665005542102029,0.885233914473202,0.885233914473202,1,0.665005542102029
"lactose",0.665005542102029,0.312321421676216,0.665005542102029,0.193930852282411,0.193930852282411,0.885233914473202,0.312321421676216,1,0.193930852282411,0.665005542102029,0.193930852282411,0.885233914473202,0.312321421676216,0.312321421676216,0.665005542102029,0.193930852282411,1,0.885233914473202,0.193930852282411,0.665005542102029,0.47048642205879,0.885233914473202,0.665005542102029,0.112351197690464,0.47048642205879,0.312321421676216,0.885233914473202,0.885233914473202,1,0.47048642205879,0.47048642205879,0.47048642205879,1,0.885233914473202,0.665005542102029,0.665005542102029,0.112351197690464,0.193930852282411,0.312321421676216,0.47048642205879,0.112351197690464,0.312321421676216,0.665005542102029,0.47048642205879,0.665005542102029,1,0.885233914473202,0.47048642205879,0.47048642205879,0.47048642205879,0.47048642205879,0.665005542102029,0.112351197690464,0.665005542102029,0.47048642205879,0.885233914473202,0.312321421676216,0.885233914473202,0.312321421676216,1,0.312321421676216,0.665005542102029,0.47048642205879,0.312321421676216,0.885233914473202,1,0.312321421676216,0.312321421676216,0.312321421676216,0.47048642205879,0.665005542102029,0.193930852282411,0.885233914473202,1,0.885233914473202,0.665005542102029,0.885233914473202,0.47048642205879,0.312321421676216,0.885233914473202,0.312321421676216,0.47048642205879,0.885233914473202,0.312321421676216,0.112351197690464,0.312321421676216,0.47048642205879,1,0.47048642205879,0.665005542102029,0.885233914473202,0.193930852282411,0.112351197690464,0.885233914473202,1,0.885233914473202,0.885233914473202,0.193930852282411,0.312321421676216,0.47048642205879
"4-Hydroxyphenylpyruvic acid",0.193930852282411,0.665005542102029,0.312321421676216,0.665005542102029,1,0.665005542102029,0.47048642205879,0.665005542102029,1,0.885233914473202,0.665005542102029,1,0.885233914473202,1,0.47048642205879,0.312321421676216,0.665005542102029,1,0.665005542102029,0.885233914473202,0.665005542102029,1,0.885233914473202,0.665005542102029,0.47048642205879,0.47048642205879,0.312321421676216,0.47048642205879,0.885233914473202,0.885233914473202,0.885233914473202,0.665005542102029,0.47048642205879,0.312321421676216,0.665005542102029,0.665005542102029,0.885233914473202,0.885233914473202,0.885233914473202,1,0.665005542102029,0.47048642205879,0.885233914473202,0.312321421676216,0.47048642205879,0.47048642205879,1,0.193930852282411,0.665005542102029,0.885233914473202,0.885233914473202,0.193930852282411,0.312321421676216,1,0.193930852282411,1,0.885233914473202,0.665005542102029,0.885233914473202,0.665005542102029,0.47048642205879,0.665005542102029,0.47048642205879,1,0.885233914473202,0.665005542102029,0.885233914473202,1,0.885233914473202,1,1,0.885233914473202,1,0.885233914473202,0.885233914473202,0.885233914473202,0.665005542102029,0.885233914473202,0.193930852282411,0.665005542102029,0.885233914473202,0.665005542102029,0.193930852282411,0.665005542102029,0.312321421676216,1,0.665005542102029,0.885233914473202,0.885233914473202,0.47048642205879,0.885233914473202,1,1,0.885233914473202,1,0.885233914473202,0.665005542102029,0.665005542102029,0.885233914473202,1
"4-Pyridoxic acid",0.312321421676216,0.47048642205879,0.885233914473202,0.885233914473202,0.665005542102029,0.47048642205879,0.885233914473202,0.665005542102029,0.885233914473202,1,1,0.47048642205879,0.47048642205879,1,0.665005542102029,0.47048642205879,0.665005542102029,0.665005542102029,0.885233914473202,0.885233914473202,1,1,0.47048642205879,0.312321421676216,0.885233914473202,1,0.665005542102029,0.885233914473202,0.665005542102029,0.885233914473202,1,0.665005542102029,0.885233914473202,0.665005542102029,0.665005542102029,0.665005542102029,0.885233914473202,0.885233914473202,0.885233914473202,1,0.885233914473202,0.885233914473202,0.885233914473202,0.665005542102029,0.665005542102029,1,0.665005542102029,0.665005542102029,1,0.665005542102029,0.312321421676216,0.665005542102029,0.193930852282411,0.665005542102029,0.665005542102029,0.665005542102029,0.885233914473202,0.885233914473202,0.885233914473202,0.47048642205879,0.47048642205879,0.312321421676216,0.665005542102029,0.312321421676216,0.885233914473202,0.885233914473202,0.885233914473202,0.885233914473202,0.665005542102029,1,0.885233914473202,0.665005542102029,0.885233914473202,1,1,0.47048642205879,0.665005542102029,1,0.885233914473202,0.885233914473202,1,0.885233914473202,0.47048642205879,0.885233914473202,0.47048642205879,1,0.665005542102029,0.885233914473202,0.885233914473202,0.665005542102029,1,0.885233914473202,0.47048642205879,0.665005542102029,0.312321421676216,1,0.885233914473202,1,0.885233914473202,1
"2-Phosphoglyceric acid",0.885233914473202,0.885233914473202,0.47048642205879,0.312321421676216,0.312321421676216,0.665005542102029,0.665005542102029,0.665005542102029,0.665005542102029,0.665005542102029,1,0.312321421676216,0.665005542102029,0.312321421676216,1,0.665005542102029,0.665005542102029,0.47048642205879,0.885233914473202,0.47048642205879,0.885233914473202,0.47048642205879,0.312321421676216,0.885233914473202,0.885233914473202,0.47048642205879,0.885233914473202,0.665005542102029,0.665005542102029,1,0.312321421676216,0.665005542102029,0.885233914473202,0.885233914473202,0.885233914473202,1,0.885233914473202,0.665005542102029,0.665005542102029,0.885233914473202,0.665005542102029,0.665005542102029,0.47048642205879,0.885233914473202,0.885233914473202,0.47048642205879,0.885233914473202,0.885233914473202,0.47048642205879,0.47048642205879,0.47048642205879,0.47048642205879,0.885233914473202,0.47048642205879,0.885233914473202,0.885233914473202,0.312321421676216,0.665005542102029,0.312321421676216,0.47048642205879,0.885233914473202,0.312321421676216,0.47048642205879,0.312321421676216,0.47048642205879,0.665005542102029,0.885233914473202,0.885233914473202,0.47048642205879,0.312321421676216,1,0.885233914473202,0.665005542102029,1,0.665005542102029,0.312321421676216,0.665005542102029,0.885233914473202,0.885233914473202,0.312321421676216,0.47048642205879,0.47048642205879,0.665005542102029,0.312321421676216,1,0.885233914473202,1,1,0.885233914473202,0.665005542102029,0.47048642205879,0.885233914473202,0.47048642205879,0.665005542102029,0.885233914473202,1,0.665005542102029,0.885233914473202,0.312321421676216,0.665005542102029
"Azelaic acid",0.885233914473202,0.885233914473202,0.47048642205879,0.312321421676216,0.665005542102029,0.665005542102029,0.665005542102029,0.312321421676216,0.665005542102029,0.885233914473202,0.665005542102029,0.665005542102029,0.665005542102029,0.312321421676216,1,0.312321421676216,0.885233914473202,1,0.665005542102029,0.47048642205879,0.885233914473202,0.665005542102029,0.885233914473202,0.47048642205879,1,0.112351197690464,0.312321421676216,0.885233914473202,0.885233914473202,1,0.885233914473202,0.665005542102029,0.885233914473202,0.885233914473202,0.665005542102029,0.47048642205879,0.312321421676216,0.665005542102029,0.665005542102029,0.665005542102029,0.665005542102029,0.885233914473202,0.665005542102029,0.885233914473202,0.665005542102029,0.312321421676216,0.885233914473202,0.665005542102029,0.885233914473202,1,0.112351197690464,1,0.312321421676216,1,0.665005542102029,0.665005542102029,0.312321421676216,1,0.312321421676216,0.885233914473202,0.665005542102029,0.885233914473202,0.312321421676216,0.112351197690464,0.665005542102029,0.112351197690464,0.312321421676216,1,0.665005542102029,0.312321421676216,1,0.665005542102029,0.665005542102029,0.665005542102029,0.665005542102029,0.112351197690464,1,0.665005542102029,1,0.665005542102029,1,0.665005542102029,0.665005542102029,0.312321421676216,1,1,0.665005542102029,1,0.885233914473202,1,0.885233914473202,1,0.312321421676216,1,0.665005542102029,0.47048642205879,0.885233914473202,1,1,0.665005542102029
"4,6-Dihydroxy-2-quinolinecarboxylic acid",0.193930852282411,0.885233914473202,0.47048642205879,0.47048642205879,0.47048642205879,0.665005542102029,0.47048642205879,0.312321421676216,0.665005542102029,0.47048642205879,1,0.665005542102029,0.665005542102029,0.312321421676216,0.885233914473202,0.47048642205879,0.885233914473202,0.312321421676216,0.47048642205879,0.665005542102029,0.665005542102029,0.47048642205879,0.47048642205879,1,0.312321421676216,0.312321421676216,0.312321421676216,0.47048642205879,0.312321421676216,1,0.47048642205879,0.312321421676216,0.312321421676216,0.312321421676216,0.665005542102029,0.885233914473202,0.47048642205879,0.47048642205879,0.47048642205879,0.47048642205879,0.885233914473202,0.665005542102029,0.665005542102029,0.312321421676216,0.665005542102029,0.312321421676216,0.665005542102029,0.193930852282411,0.47048642205879,0.665005542102029,0.47048642205879,0.665005542102029,0.47048642205879,0.312321421676216,1,0.665005542102029,0.312321421676216,1,0.47048642205879,0.665005542102029,0.665005542102029,0.665005542102029,0.47048642205879,0.665005542102029,0.312321421676216,0.47048642205879,0.47048642205879,0.47048642205879,0.47048642205879,0.47048642205879,0.312321421676216,1,0.193930852282411,0.47048642205879,0.47048642205879,0.47048642205879,0.665005542102029,0.47048642205879,1,0.47048642205879,0.885233914473202,0.47048642205879,0.312321421676216,0.312321421676216,1,0.312321421676216,0.312321421676216,1,0.47048642205879,0.885233914473202,0.47048642205879,0.47048642205879,0.885233914473202,0.47048642205879,0.193930852282411,0.47048642205879,0.312321421676216,0.47048642205879,0.47048642205879,0.312321421676216
"D-Glucuronic acid",0.665005542102029,0.193930852282411,0.47048642205879,0.47048642205879,0.47048642205879,0.665005542102029,0.885233914473202,1,0.665005542102029,1,0.665005542102029,0.665005542102029,0.312321421676216,0.312321421676216,0.665005542102029,0.193930852282411,0.885233914473202,0.665005542102029,0.47048642205879,0.885233914473202,1,0.665005542102029,0.665005542102029,0.112351197690464,0.665005542102029,0.665005542102029,0.885233914473202,0.885233914473202,0.885233914473202,1,0.193930852282411,1,0.885233914473202,1,0.885233914473202,0.885233914473202,0.47048642205879,0.112351197690464,0.885233914473202,0.47048642205879,0.885233914473202,0.885233914473202,0.665005542102029,0.312321421676216,1,1,0.47048642205879,0.47048642205879,1,0.193930852282411,0.312321421676216,0.312321421676216,0.112351197690464,0.665005542102029,0.665005542102029,1,0.47048642205879,0.885233914473202,1,1,0.47048642205879,0.312321421676216,0.665005542102029,0.885233914473202,0.885233914473202,0.885233914473202,0.193930852282411,0.885233914473202,1,0.885233914473202,1,0.885233914473202,0.665005542102029,0.312321421676216,0.665005542102029,0.885233914473202,0.885233914473202,0.665005542102029,1,0.885233914473202,0.885233914473202,0.885233914473202,0.312321421676216,0.47048642205879,0.312321421676216,0.312321421676216,1,1,0.885233914473202,0.665005542102029,0.47048642205879,0.885233914473202,0.665005542102029,1,0.47048642205879,0.885233914473202,0.885233914473202,0.47048642205879,0.885233914473202,1
"Indoxyl sulfate",0.47048642205879,0.885233914473202,0.885233914473202,0.885233914473202,0.665005542102029,0.885233914473202,1,0.885233914473202,0.885233914473202,0.885233914473202,1,0.665005542102029,0.665005542102029,1,1,0.885233914473202,0.665005542102029,1,1,0.885233914473202,0.885233914473202,1,0.665005542102029,0.885233914473202,0.885233914473202,1,0.885233914473202,0.665005542102029,0.665005542102029,0.885233914473202,0.885233914473202,1,0.665005542102029,0.665005542102029,1,0.885233914473202,1,0.885233914473202,0.885233914473202,1,0.885233914473202,0.885233914473202,1,0.665005542102029,1,1,0.885233914473202,0.885233914473202,0.885233914473202,0.885233914473202,1,0.885233914473202,1,1,0.885233914473202,1,1,0.885233914473202,1,0.885233914473202,0.885233914473202,0.665005542102029,1,1,1,1,0.885233914473202,1,0.885233914473202,0.885233914473202,1,1,0.885233914473202,1,0.885233914473202,1,0.885233914473202,1,0.885233914473202,0.885233914473202,1,1,0.885233914473202,1,1,1,0.665005542102029,0.665005542102029,0.885233914473202,0.885233914473202,0.885233914473202,1,1,0.885233914473202,0.665005542102029,0.885233914473202,0.47048642205879,1,1,1
"Pantothenic acid",0.312321421676216,1,0.885233914473202,1,1,0.665005542102029,0.47048642205879,0.312321421676216,0.885233914473202,0.665005542102029,0.47048642205879,0.885233914473202,1,1,0.885233914473202,1,0.47048642205879,0.47048642205879,0.885233914473202,0.885233914473202,0.885233914473202,0.665005542102029,0.885233914473202,1,1,0.665005542102029,0.47048642205879,1,0.885233914473202,0.47048642205879,0.665005542102029,0.47048642205879,0.665005542102029,0.665005542102029,0.885233914473202,0.885233914473202,0.47048642205879,0.665005542102029,0.885233914473202,0.47048642205879,0.665005542102029,0.885233914473202,0.885233914473202,0.47048642205879,0.885233914473202,0.885233914473202,0.885233914473202,0.885233914473202,0.885233914473202,1,0.665005542102029,1,1,0.665005542102029,0.885233914473202,1,1,0.665005542102029,0.47048642205879,1,0.885233914473202,0.885233914473202,1,0.885233914473202,0.885233914473202,0.665005542102029,0.665005542102029,0.312321421676216,0.665005542102029,0.665005542102029,0.47048642205879,0.47048642205879,0.885233914473202,0.312321421676216,0.47048642205879,0.665005542102029,1,0.47048642205879,0.885233914473202,0.885233914473202,0.47048642205879,0.665005542102029,0.47048642205879,0.665005542102029,0.665005542102029,0.312321421676216,0.665005542102029,1,0.665005542102029,0.47048642205879,0.665005542102029,0.47048642205879,1,0.312321421676216,0.47048642205879,0.885233914473202,1,0.47048642205879,1,0.47048642205879
"L-Cystathionine",0.312321421676216,0.47048642205879,0.885233914473202,0.665005542102029,0.885233914473202,0.665005542102029,0.312321421676216,0.47048642205879,0.885233914473202,0.47048642205879,0.47048642205879,0.312321421676216,0.885233914473202,0.47048642205879,0.885233914473202,1,0.47048642205879,0.885233914473202,0.885233914473202,0.665005542102029,0.885233914473202,0.665005542102029,0.665005542102029,1,0.885233914473202,0.47048642205879,0.47048642205879,1,0.47048642205879,1,0.665005542102029,0.47048642205879,0.885233914473202,0.47048642205879,0.665005542102029,0.665005542102029,0.885233914473202,1,0.885233914473202,0.885233914473202,1,0.665005542102029,0.665005542102029,0.47048642205879,0.47048642205879,0.312321421676216,0.665005542102029,0.47048642205879,0.665005542102029,1,1,0.885233914473202,0.885233914473202,0.47048642205879,0.885233914473202,0.885233914473202,0.47048642205879,0.885233914473202,0.312321421676216,0.665005542102029,0.665005542102029,0.885233914473202,0.665005542102029,0.665005542102029,0.665005542102029,0.665005542102029,0.885233914473202,0.312321421676216,0.665005542102029,1,0.665005542102029,1,0.312321421676216,0.47048642205879,0.47048642205879,0.885233914473202,0.665005542102029,0.665005542102029,1,0.665005542102029,1,0.665005542102029,0.885233914473202,0.312321421676216,0.885233914473202,0.885233914473202,0.665005542102029,0.885233914473202,0.47048642205879,0.47048642205879,0.665005542102029,0.885233914473202,1,0.312321421676216,0.47048642205879,0.665005542102029,0.665005542102029,0.885233914473202,0.885233914473202,0.885233914473202
"3-Nitrotyrosine",0.312321421676216,0.312321421676216,0.193930852282411,0.193930852282411,0.312321421676216,1,0.665005542102029,0.665005542102029,0.885233914473202,0.885233914473202,0.312321421676216,0.885233914473202,0.193930852282411,0.0303828219765775,0.885233914473202,0.0303828219765775,0.665005542102029,0.665005542102029,0.0606019697120061,0.0606019697120061,0.665005542102029,0.112351197690464,0.312321421676216,0.193930852282411,1,0.47048642205879,0.665005542102029,0.665005542102029,0.665005542102029,0.885233914473202,0.193930852282411,0.885233914473202,0.665005542102029,1,0.665005542102029,0.885233914473202,0.47048642205879,0.0303828219765775,0.665005542102029,0.885233914473202,0.47048642205879,0.665005542102029,0.112351197690464,0.665005542102029,0.193930852282411,0.112351197690464,0.47048642205879,0.665005542102029,0.885233914473202,0.112351197690464,0.47048642205879,0.47048642205879,0.193930852282411,0.885233914473202,0.885233914473202,0.665005542102029,0.0303828219765775,0.665005542102029,0.193930852282411,0.885233914473202,0.665005542102029,0.312321421676216,0.112351197690464,0.665005542102029,0.885233914473202,0.665005542102029,0.112351197690464,1,0.665005542102029,0.312321421676216,0.885233914473202,0.885233914473202,0.47048642205879,0.47048642205879,0.47048642205879,0.193930852282411,0.885233914473202,0.312321421676216,1,0.312321421676216,0.885233914473202,0.312321421676216,0.193930852282411,0.193930852282411,0.112351197690464,0.112351197690464,0.665005542102029,1,0.885233914473202,1,0.312321421676216,1,0.112351197690464,1,0.193930852282411,0.665005542102029,0.885233914473202,0.665005542102029,0.312321421676216,0.112351197690464
"Myristic acid",0.665005542102029,1,1,0.885233914473202,1,1,1,1,0.885233914473202,0.885233914473202,0.885233914473202,0.885233914473202,1,0.665005542102029,0.665005542102029,0.885233914473202,1,0.665005542102029,0.885233914473202,0.885233914473202,0.885233914473202,0.665005542102029,0.885233914473202,0.47048642205879,0.47048642205879,0.885233914473202,1,0.665005542102029,0.885233914473202,0.885233914473202,1,0.885233914473202,1,0.885233914473202,0.885233914473202,0.885233914473202,0.885233914473202,1,0.47048642205879,0.885233914473202,0.885233914473202,1,0.885233914473202,0.312321421676216,0.885233914473202,0.885233914473202,0.885233914473202,0.665005542102029,0.665005542102029,1,0.885233914473202,0.47048642205879,0.47048642205879,0.885233914473202,0.47048642205879,0.47048642205879,0.885233914473202,1,1,0.665005542102029,1,0.885233914473202,0.885233914473202,1,0.885233914473202,0.885233914473202,0.885233914473202,0.885233914473202,1,1,0.885233914473202,1,0.885233914473202,0.885233914473202,0.885233914473202,1,1,0.885233914473202,0.665005542102029,0.885233914473202,0.885233914473202,0.665005542102029,0.47048642205879,0.885233914473202,0.665005542102029,0.885233914473202,0.665005542102029,0.885233914473202,0.665005542102029,1,0.885233914473202,1,0.665005542102029,0.665005542102029,0.665005542102029,0.885233914473202,0.885233914473202,0.885233914473202,0.885233914473202,0.885233914473202
"D-Ribose 5-phosphate",0.885233914473202,1,1,1,0.665005542102029,0.312321421676216,0.47048642205879,0.312321421676216,0.47048642205879,0.665005542102029,1,0.665005542102029,0.47048642205879,1,0.665005542102029,0.665005542102029,0.193930852282411,0.312321421676216,0.312321421676216,0.47048642205879,1,0.665005542102029,1,0.47048642205879,0.885233914473202,0.665005542102029,0.665005542102029,0.885233914473202,0.665005542102029,0.885233914473202,0.665005542102029,0.312321421676216,0.885233914473202,0.665005542102029,0.312321421676216,1,0.193930852282411,0.665005542102029,0.665005542102029,0.312321421676216,0.885233914473202,0.885233914473202,0.193930852282411,0.665005542102029,0.193930852282411,0.665005542102029,0.665005542102029,0.885233914473202,0.665005542102029,0.312321421676216,0.665005542102029,0.665005542102029,0.665005542102029,0.312321421676216,0.885233914473202,0.312321421676216,0.665005542102029,0.193930852282411,0.193930852282411,0.665005542102029,0.665005542102029,1,0.665005542102029,0.47048642205879,0.665005542102029,1,0.312321421676216,0.312321421676216,0.312321421676216,0.47048642205879,0.665005542102029,0.47048642205879,0.885233914473202,0.312321421676216,1,0.665005542102029,1,0.47048642205879,0.885233914473202,0.47048642205879,0.885233914473202,0.312321421676216,0.885233914473202,1,0.885233914473202,0.312321421676216,0.885233914473202,0.665005542102029,0.665005542102029,0.47048642205879,0.665005542102029,0.665005542102029,0.47048642205879,0.312321421676216,0.885233914473202,0.665005542102029,0.47048642205879,0.665005542102029,0.312321421676216,0.312321421676216
"Biotin",0.47048642205879,0.47048642205879,0.47048642205879,0.193930852282411,0.47048642205879,0.193930852282411,0.193930852282411,0.193930852282411,0.193930852282411,0.665005542102029,0.312321421676216,0.312321421676216,0.665005542102029,0.312321421676216,0.47048642205879,0.885233914473202,0.665005542102029,0.112351197690464,0.665005542102029,0.47048642205879,0.312321421676216,0.112351197690464,0.885233914473202,0.885233914473202,0.112351197690464,0.47048642205879,0.193930852282411,0.312321421676216,0.47048642205879,0.193930852282411,0.665005542102029,0.193930852282411,0.47048642205879,0.665005542102029,0.193930852282411,0.665005542102029,0.47048642205879,0.47048642205879,0.193930852282411,0.193930852282411,0.47048642205879,0.47048642205879,0.193930852282411,0.665005542102029,0.47048642205879,0.312321421676216,0.47048642205879,0.112351197690464,0.47048642205879,0.312321421676216,0.47048642205879,0.312321421676216,0.885233914473202,0.112351197690464,0.312321421676216,0.47048642205879,0.47048642205879,0.193930852282411,0.193930852282411,0.47048642205879,0.885233914473202,0.665005542102029,0.47048642205879,0.312321421676216,0.312321421676216,0.193930852282411,0.665005542102029,0.312321421676216,0.112351197690464,0.312321421676216,0.47048642205879,0.0606019697120061,0.312321421676216,0.47048642205879,0.47048642205879,0.47048642205879,0.193930852282411,0.47048642205879,0.193930852282411,0.312321421676216,0.312321421676216,0.193930852282411,0.0606019697120061,0.312321421676216,0.665005542102029,0.47048642205879,0.0606019697120061,0.193930852282411,0.47048642205879,0.193930852282411,0.312321421676216,0.312321421676216,0.193930852282411,0.665005542102029,0.112351197690464,0.665005542102029,0.665005542102029,0.312321421676216,0.193930852282411,0.665005542102029
