,train_auc,train_sen,test_auc,test_sen
1,0.907142857,"Sens:70.0%
Spec:100.0%
PPV:100.0%
NPV:82.4%
",0.892307692,"Sens:100.0%
Spec:69.2%
PPV:71.4%
NPV:100.0%
"
2,1,"Sens:100.0%
Spec:100.0%
PPV:100.0%
NPV:100.0%
",0.730769231,"Sens:100.0%
Spec:61.5%
PPV:66.7%
NPV:100.0%
"
3,0.964285714,"Sens:100.0%
Spec:85.7%
PPV:83.3%
NPV:100.0%
",0.838461538,"Sens:70.0%
Spec:92.3%
PPV:87.5%
NPV:80.0%
"
4,0.9,"Sens:80.0%
Spec:92.9%
PPV:88.9%
NPV:86.7%
",0.923076923,"Sens:90.0%
Spec:84.6%
PPV:81.8%
NPV:91.7%
"
5,0.928571429,"Sens:100.0%
Spec:71.4%
PPV:71.4%
NPV:100.0%
",0.846153846,"Sens:100.0%
Spec:69.2%
PPV:71.4%
NPV:100.0%
"
6,1,"Sens:100.0%
Spec:100.0%
PPV:100.0%
NPV:100.0%
",0.8,"Sens:100.0%
Spec:53.8%
PPV:62.5%
NPV:100.0%
"
7,0.957142857,"Sens:90.0%
Spec:92.9%
PPV:90.0%
NPV:92.9%
",0.8,"Sens:100.0%
Spec:53.8%
PPV:62.5%
NPV:100.0%
"
8,0.892857143,"Sens:80.0%
Spec:92.9%
PPV:88.9%
NPV:86.7%
",0.846153846,"Sens:100.0%
Spec:69.2%
PPV:71.4%
NPV:100.0%
"
9,0.935714286,"Sens:100.0%
Spec:78.6%
PPV:76.9%
NPV:100.0%
",0.853846154,"Sens:60.0%
Spec:100.0%
PPV:100.0%
NPV:76.5%
"
10,0.957142857,"Sens:80.0%
Spec:100.0%
PPV:100.0%
NPV:87.5%
",0.9,"Sens:80.0%
Spec:92.3%
PPV:88.9%
NPV:85.7%
"
11,0.978571429,"Sens:100.0%
Spec:85.7%
PPV:83.3%
NPV:100.0%
",0.861538462,"Sens:100.0%
Spec:61.5%
PPV:66.7%
NPV:100.0%
"
12,0.957142857,"Sens:80.0%
Spec:100.0%
PPV:100.0%
NPV:87.5%
",0.738461538,"Sens:100.0%
Spec:69.2%
PPV:71.4%
NPV:100.0%
"
13,0.992857143,"Sens:100.0%
Spec:92.9%
PPV:90.9%
NPV:100.0%
",0.838461538,"Sens:100.0%
Spec:61.5%
PPV:66.7%
NPV:100.0%
"
14,0.942857143,"Sens:90.0%
Spec:92.9%
PPV:90.0%
NPV:92.9%
",0.884615385,"Sens:90.0%
Spec:76.9%
PPV:75.0%
NPV:90.9%
"
15,0.928571429,"Sens:90.0%
Spec:85.7%
PPV:81.8%
NPV:92.3%
",0.761538462,"Sens:60.0%
Spec:92.3%
PPV:85.7%
NPV:75.0%
"
16,0.921428571,"Sens:100.0%
Spec:71.4%
PPV:71.4%
NPV:100.0%
",0.9,"Sens:100.0%
Spec:69.2%
PPV:71.4%
NPV:100.0%
"
17,0.957142857,"Sens:80.0%
Spec:100.0%
PPV:100.0%
NPV:87.5%
",0.846153846,"Sens:100.0%
Spec:61.5%
PPV:66.7%
NPV:100.0%
"
18,0.907142857,"Sens:70.0%
Spec:100.0%
PPV:100.0%
NPV:82.4%
",0.907692308,"Sens:90.0%
Spec:84.6%
PPV:81.8%
NPV:91.7%
"
19,0.935714286,"Sens:80.0%
Spec:92.9%
PPV:88.9%
NPV:86.7%
",0.884615385,"Sens:70.0%
Spec:92.3%
PPV:87.5%
NPV:80.0%
"
20,1,"Sens:100.0%
Spec:100.0%
PPV:100.0%
NPV:100.0%
",0.761538462,"Sens:100.0%
Spec:53.8%
PPV:62.5%
NPV:100.0%
"
21,1,"Sens:100.0%
Spec:100.0%
PPV:100.0%
NPV:100.0%
",0.723076923,"Sens:100.0%
Spec:53.8%
PPV:62.5%
NPV:100.0%
"
22,0.942857143,"Sens:100.0%
Spec:78.6%
PPV:76.9%
NPV:100.0%
",0.884615385,"Sens:80.0%
Spec:84.6%
PPV:80.0%
NPV:84.6%
"
23,0.871428571,"Sens:90.0%
Spec:71.4%
PPV:69.2%
NPV:90.9%
",0.946153846,"Sens:90.0%
Spec:92.3%
PPV:90.0%
NPV:92.3%
"
24,1,"Sens:100.0%
Spec:100.0%
PPV:100.0%
NPV:100.0%
",0.676923077,"Sens:40.0%
Spec:100.0%
PPV:100.0%
NPV:68.4%
"
25,0.957142857,"Sens:100.0%
Spec:85.7%
PPV:83.3%
NPV:100.0%
",0.884615385,"Sens:70.0%
Spec:92.3%
PPV:87.5%
NPV:80.0%
"
26,0.928571429,"Sens:80.0%
Spec:92.9%
PPV:88.9%
NPV:86.7%
",0.9,"Sens:80.0%
Spec:92.3%
PPV:88.9%
NPV:85.7%
"
27,0.921428571,"Sens:80.0%
Spec:92.9%
PPV:88.9%
NPV:86.7%
",0.915384615,"Sens:100.0%
Spec:76.9%
PPV:76.9%
NPV:100.0%
"
28,0.942857143,"Sens:90.0%
Spec:85.7%
PPV:81.8%
NPV:92.3%
",0.869230769,"Sens:90.0%
Spec:84.6%
PPV:81.8%
NPV:91.7%
"
29,0.971428571,"Sens:90.0%
Spec:92.9%
PPV:90.0%
NPV:92.9%
",0.861538462,"Sens:70.0%
Spec:92.3%
PPV:87.5%
NPV:80.0%
"
30,0.928571429,"Sens:80.0%
Spec:100.0%
PPV:100.0%
NPV:87.5%
",0.861538462,"Sens:80.0%
Spec:84.6%
PPV:80.0%
NPV:84.6%
"
31,0.828571429,"Sens:70.0%
Spec:92.9%
PPV:87.5%
NPV:81.2%
",0.915384615,"Sens:90.0%
Spec:84.6%
PPV:81.8%
NPV:91.7%
"
32,0.957142857,"Sens:80.0%
Spec:100.0%
PPV:100.0%
NPV:87.5%
",0.846153846,"Sens:80.0%
Spec:84.6%
PPV:80.0%
NPV:84.6%
"
33,1,"Sens:100.0%
Spec:100.0%
PPV:100.0%
NPV:100.0%
",0.769230769,"Sens:100.0%
Spec:61.5%
PPV:66.7%
NPV:100.0%
"
34,0.985714286,"Sens:100.0%
Spec:92.9%
PPV:90.9%
NPV:100.0%
",0.838461538,"Sens:80.0%
Spec:76.9%
PPV:72.7%
NPV:83.3%
"
35,0.835714286,"Sens:60.0%
Spec:100.0%
PPV:100.0%
NPV:77.8%
",0.884615385,"Sens:80.0%
Spec:92.3%
PPV:88.9%
NPV:85.7%
"
36,0.914285714,"Sens:90.0%
Spec:78.6%
PPV:75.0%
NPV:91.7%
",0.884615385,"Sens:100.0%
Spec:69.2%
PPV:71.4%
NPV:100.0%
"
37,0.992857143,"Sens:100.0%
Spec:92.9%
PPV:90.9%
NPV:100.0%
",0.784615385,"Sens:100.0%
Spec:53.8%
PPV:62.5%
NPV:100.0%
"
38,0.964285714,"Sens:90.0%
Spec:92.9%
PPV:90.0%
NPV:92.9%
",0.823076923,"Sens:90.0%
Spec:69.2%
PPV:69.2%
NPV:90.0%
"
39,0.964285714,"Sens:90.0%
Spec:92.9%
PPV:90.0%
NPV:92.9%
",0.815384615,"Sens:50.0%
Spec:100.0%
PPV:100.0%
NPV:72.2%
"
40,0.95,"Sens:100.0%
Spec:78.6%
PPV:76.9%
NPV:100.0%
",0.815384615,"Sens:100.0%
Spec:53.8%
PPV:62.5%
NPV:100.0%
"
41,1,"Sens:100.0%
Spec:100.0%
PPV:100.0%
NPV:100.0%
",0.792307692,"Sens:60.0%
Spec:92.3%
PPV:85.7%
NPV:75.0%
"
42,0.985714286,"Sens:100.0%
Spec:92.9%
PPV:90.9%
NPV:100.0%
",0.830769231,"Sens:70.0%
Spec:92.3%
PPV:87.5%
NPV:80.0%
"
43,0.992857143,"Sens:100.0%
Spec:92.9%
PPV:90.9%
NPV:100.0%
",0.792307692,"Sens:60.0%
Spec:100.0%
PPV:100.0%
NPV:76.5%
"
44,0.9,"Sens:90.0%
Spec:78.6%
PPV:75.0%
NPV:91.7%
",0.938461538,"Sens:80.0%
Spec:100.0%
PPV:100.0%
NPV:86.7%
"
45,0.957142857,"Sens:100.0%
Spec:85.7%
PPV:83.3%
NPV:100.0%
",0.846153846,"Sens:80.0%
Spec:76.9%
PPV:72.7%
NPV:83.3%
"
46,0.921428571,"Sens:80.0%
Spec:100.0%
PPV:100.0%
NPV:87.5%
",0.923076923,"Sens:80.0%
Spec:92.3%
PPV:88.9%
NPV:85.7%
"
47,0.95,"Sens:100.0%
Spec:78.6%
PPV:76.9%
NPV:100.0%
",0.776923077,"Sens:70.0%
Spec:84.6%
PPV:77.8%
NPV:78.6%
"
48,0.957142857,"Sens:100.0%
Spec:85.7%
PPV:83.3%
NPV:100.0%
",0.823076923,"Sens:90.0%
Spec:69.2%
PPV:69.2%
NPV:90.0%
"
49,0.9,"Sens:100.0%
Spec:71.4%
PPV:71.4%
NPV:100.0%
",0.930769231,"Sens:80.0%
Spec:100.0%
PPV:100.0%
NPV:86.7%
"
50,0.978571429,"Sens:90.0%
Spec:100.0%
PPV:100.0%
NPV:93.3%
",0.738461538,"Sens:80.0%
Spec:61.5%
PPV:61.5%
NPV:80.0%
"
51,0.885714286,"Sens:90.0%
Spec:78.6%
PPV:75.0%
NPV:91.7%
",0.884615385,"Sens:100.0%
Spec:69.2%
PPV:71.4%
NPV:100.0%
"
52,0.95,"Sens:80.0%
Spec:100.0%
PPV:100.0%
NPV:87.5%
",0.853846154,"Sens:70.0%
Spec:92.3%
PPV:87.5%
NPV:80.0%
"
53,0.907142857,"Sens:80.0%
Spec:85.7%
PPV:80.0%
NPV:85.7%
",0.923076923,"Sens:80.0%
Spec:92.3%
PPV:88.9%
NPV:85.7%
"
54,0.971428571,"Sens:90.0%
Spec:100.0%
PPV:100.0%
NPV:93.3%
",0.853846154,"Sens:100.0%
Spec:61.5%
PPV:66.7%
NPV:100.0%
"
55,0.978571429,"Sens:90.0%
Spec:100.0%
PPV:100.0%
NPV:93.3%
",0.853846154,"Sens:80.0%
Spec:76.9%
PPV:72.7%
NPV:83.3%
"
56,0.9,"Sens:70.0%
Spec:100.0%
PPV:100.0%
NPV:82.4%
",0.846153846,"Sens:100.0%
Spec:69.2%
PPV:71.4%
NPV:100.0%
"
57,0.942857143,"Sens:100.0%
Spec:85.7%
PPV:83.3%
NPV:100.0%
",0.884615385,"Sens:80.0%
Spec:84.6%
PPV:80.0%
NPV:84.6%
"
58,0.964285714,"Sens:90.0%
Spec:92.9%
PPV:90.0%
NPV:92.9%
",0.861538462,"Sens:100.0%
Spec:61.5%
PPV:66.7%
NPV:100.0%
"
59,0.914285714,"Sens:80.0%
Spec:92.9%
PPV:88.9%
NPV:86.7%
",0.9,"Sens:80.0%
Spec:84.6%
PPV:80.0%
NPV:84.6%
"
